date,price
2018/1/2,232.5
2018/1/3,237
2018/1/4,239.5
2018/1/5,240
2018/1/8,242
2018/1/9,242
2018/1/10,236.5
2018/1/11,235
2018/1/12,237
2018/1/15,240
2018/1/16,240.5
2018/1/17,242
2018/1/18,248.5
2018/1/19,255.5
2018/1/22,261.5
2018/1/23,266
2018/1/24,258
2018/1/25,258
2018/1/26,255
2018/1/29,258.5
2018/1/30,253
2018/1/31,255
2018/2/1,259.5
2018/2/2,259.5
2018/2/5,253
2018/2/6,239
2018/2/7,240
2018/2/8,238.5
2018/2/9,232.5
2018/2/12,236.5
2018/2/21,242.5
2018/2/22,239.5
2018/2/23,245
2018/2/26,246.5
2018/2/27,246
2018/3/1,243
2018/3/2,240
2018/3/5,241.5
2018/3/6,250
2018/3/7,247
2018/3/8,249.5
2018/3/9,250.5
2018/3/12,254
2018/3/13,259
2018/3/14,257
2018/3/15,255
2018/3/16,255
2018/3/19,255
2018/3/20,253
2018/3/21,252.5
2018/3/22,251.5
2018/3/23,245
2018/3/26,243.5
2018/3/27,251
2018/3/28,245
2018/3/29,244
2018/3/30,246
2018/3/31,247.5
2018/4/2,246.5
2018/4/3,244
2018/4/9,245
2018/4/10,245.5
2018/4/11,248
2018/4/12,245
2018/4/13,244.5
2018/4/16,243.5
2018/4/17,238
2018/4/18,238
2018/4/19,244.5
2018/4/20,229
2018/4/23,226.5
2018/4/24,227
2018/4/25,225
2018/4/26,222
2018/4/27,223.5
2018/4/30,227
2018/5/2,223
2018/5/3,220.5
2018/5/4,223
2018/5/7,223.5
2018/5/8,228
2018/5/9,229.5
2018/5/10,229.5
2018/5/11,233
2018/5/14,233
2018/5/15,230.5
2018/5/16,230.5
2018/5/17,226.5
2018/5/18,223.5
2018/5/21,229
2018/5/22,229
2018/5/23,228.5
2018/5/24,229
2018/5/25,228.5
2018/5/28,227
2018/5/29,225
2018/5/30,221
2018/5/31,224
2018/6/1,224
2018/6/4,229
2018/6/5,229
2018/6/6,230
2018/6/7,230
2018/6/8,227
2018/6/11,226
2018/6/12,229
2018/6/13,232
2018/6/14,226.5
2018/6/15,231
2018/6/19,225
2018/6/20,226
2018/6/21,226.5
2018/6/22,227.5
2018/6/25,218
2018/6/26,214.5
2018/6/27,213
2018/6/28,212
2018/6/29,216.5
2018/7/2,214
2018/7/3,214.5
2018/7/4,216
2018/7/5,214.5
2018/7/6,217
2018/7/9,221.5
2018/7/10,222
2018/7/11,220
2018/7/12,220.5
2018/7/13,224.5
2018/7/16,223.5
2018/7/17,221.5
2018/7/18,223
2018/7/19,224.5
2018/7/20,237.5
2018/7/23,241
2018/7/24,241
2018/7/25,240.5
2018/7/26,241
2018/7/27,244.5
2018/7/30,245.5
2018/7/31,246
2018/8/1,248
2018/8/2,244.5
2018/8/3,247
2018/8/6,245.5
2018/8/7,241.5
2018/8/8,247.5
2018/8/9,247
2018/8/10,245
2018/8/13,240.5
2018/8/14,243.5
2018/8/15,241.5
2018/8/16,239
2018/8/17,239.5
2018/8/20,239.5
2018/8/21,241
2018/8/22,242
2018/8/23,244.5
2018/8/24,243.5
2018/8/27,245
2018/8/28,249.5
2018/8/29,259
2018/8/30,263.5
2018/8/31,256
2018/9/3,257
2018/9/4,257.5
2018/9/5,264
2018/9/6,261
2018/9/7,264
2018/9/10,264.5
2018/9/11,260
2018/9/12,260.5
2018/9/13,255
2018/9/14,261
2018/9/17,258
2018/9/18,254.5
2018/9/19,258
2018/9/20,260
2018/9/21,261.5
2018/9/25,263.5
2018/9/26,263.5
2018/9/27,265
2018/9/28,262.5
2018/10/1,263
2018/10/2,257.5
2018/10/3,260
2018/10/4,254
2018/10/5,250
2018/10/8,243.5
2018/10/9,244
2018/10/11,227.5
2018/10/12,237
2018/10/15,230.5
2018/10/16,237
2018/10/17,238.5
2018/10/18,236.5
2018/10/19,236
2018/10/22,237
2018/10/23,230
2018/10/24,229.5
2018/10/25,219.5
2018/10/26,221
2018/10/29,222.5
2018/10/30,223
2018/10/31,234
2018/11/1,235.5
2018/11/2,236.5
2018/11/5,235
2018/11/6,234.5
2018/11/7,234
2018/11/8,236.5
2018/11/9,231
2018/11/12,231.5
2018/11/13,227.5
2018/11/14,228.5
2018/11/15,231
