date,price
2018/1/2,10709
2018/1/3,10789
2018/1/4,10837
2018/1/5,10857
2018/1/8,10886
2018/1/9,10881
2018/1/10,10809
2018/1/11,10801
2018/1/12,10876
2018/1/15,10955
2018/1/16,10983
2018/1/17,11020
2018/1/18,11054
2018/1/19,11139
2018/1/22,11222
2018/1/23,11225
2018/1/24,11126
2018/1/25,11154
2018/1/26,11146
2018/1/29,11196
2018/1/30,11064
2018/1/31,11098
2018/2/1,11160
2018/2/2,11116
2018/2/5,10928
2018/2/6,10399
2018/2/7,10517
2018/2/8,10518
2018/2/9,10353
2018/2/12,10410
2018/2/21,10705
2018/2/22,10626
2018/2/23,10781
2018/2/26,10822
2018/2/27,10791
2018/3/1,10735
2018/3/2,10681
2018/3/5,10635
2018/3/6,10787
2018/3/7,10712
2018/3/8,10829
2018/3/9,10865
2018/3/12,11024
2018/3/13,11100
2018/3/14,11031
2018/3/15,11041
2018/3/16,11018
2018/3/19,11028
2018/3/20,11012
2018/3/21,11044
2018/3/22,10989
2018/3/23,10734
2018/3/26,10840
2018/3/27,10989
2018/3/28,10820
2018/3/29,10840
2018/3/30,10919
2018/3/31,10926
2018/4/2,10865
2018/4/3,10784
2018/4/9,10904
2018/4/10,10949
2018/4/11,10979
2018/4/12,10943
2018/4/13,10955
2018/4/16,10943
2018/4/17,10806
2018/4/18,10845
2018/4/19,10969
2018/4/20,10788
2018/4/23,10694
2018/4/24,10583
2018/4/25,10535
2018/4/26,10476
2018/4/27,10561
2018/4/30,10655
2018/5/2,10609
2018/5/3,10506
2018/5/4,10523
2018/5/7,10595
2018/5/8,10669
2018/5/9,10704
2018/5/10,10763
2018/5/11,10861
2018/5/14,10958
2018/5/15,10869
2018/5/16,10872
2018/5/17,10826
2018/5/18,10820
2018/5/21,10965
2018/5/22,10922
2018/5/23,10858
2018/5/24,10917
2018/5/25,10932
2018/5/28,10983
2018/5/29,10928
2018/5/30,10775
2018/5/31,10867
2018/6/1,10915
2018/6/4,11085
2018/6/5,11069
2018/6/6,11200
2018/6/7,11227
2018/6/8,11125
2018/6/11,11128
2018/6/12,11141
2018/6/13,11146
2018/6/14,10985
2018/6/15,11055
2018/6/19,10874
2018/6/20,10936
2018/6/21,10706
2018/6/22,10655
2018/6/25,10584
2018/6/26,10592
2018/6/27,10554
2018/6/28,10523
2018/6/29,10677
2018/7/2,10611
2018/7/3,10622
2018/7/4,10618
2018/7/5,10500
2018/7/6,10539
2018/7/9,10661
2018/7/10,10709
2018/7/11,10617
2018/7/12,10740
2018/7/13,10848
2018/7/16,10815
2018/7/17,10768
2018/7/18,10844
2018/7/19,10721
2018/7/20,10824
2018/7/23,10830
2018/7/24,10871
2018/7/25,10865
2018/7/26,10915
2018/7/27,10992
2018/7/30,10940
2018/7/31,10989
2018/8/1,11047
2018/8/2,10871
2018/8/3,10970
2018/8/6,10982
2018/8/7,10968
2018/8/8,11049
2018/8/9,11017
2018/8/10,10959
2018/8/13,10757
2018/8/14,10820
2018/8/15,10737
2018/8/16,10690
2018/8/17,10662
2018/8/20,10671
2018/8/21,10767
2018/8/22,10764
2018/8/23,10842
2018/8/24,10788
2018/8/27,10886
2018/8/28,10954
2018/8/29,11044
2018/8/30,11023
2018/8/31,11022
2018/9/3,10935
2018/9/4,11002
2018/9/5,10950
2018/9/6,10901
2018/9/7,10845
2018/9/10,10734
2018/9/11,10740
2018/9/12,10726
